emp_no,first_name,last_name,salary
10628,Krisda,Krogh,41650
10629,Lalit,Francisci,87045
10630,Bezalel,Katzenelson,40000
10631,Inderjeet,Chaudhuri,40000
10634,Nahid,Chepyzhov,45179
10636,Saeko,Porotnikoff,40904
10637,Heejo,Frolund,103579
10639,Pramod,Erol,46291
10641,Guozhong,Zucker,41785
10642,Hirochika,Narlikar,40000
10653,Otmar,Feinberg,40000
10667,Makato,Cusworth,40000
10671,Parviz,Rebaine,74037
10672,Bluma,Zeilberger,64663
10676,Valeri,Danley,58226
10683,Guiseppe,Stranks,40000
10693,Berhard,Daescu,40000
10694,Rildo,Straney,53020
10696,Unal,Fendler,68913
10702,Bader,Szemeredi,46581
10712,Uma,Koprowski,40000
10718,Adib,Rullman,75473
10726,Zita,Minakawa,46315
10731,Fumitaka,Peak,77892
10734,Sachar,Erdi,47377
10741,Sven,Huttel,50265
10742,Shim,Wiegley,67405
10745,Poorav,Ranze,40000
10747,Falguni,Khalid,51538
10749,King,Brendel,60829
10750,Roddy,Demeyer,40000
10751,Jordanka,Ushiama,50052
10764,Yunming,Beetstra,70720
10767,Monique,Doering,40651
10768,Ishfaq,Candan,65717
10777,Mizuhito,Kemmerer,40000
10778,Selwyn,Merey,64996
10780,Goncalo,Staudhammer,43654
10782,Kish,Perna,40000
10791,Tadahiko,Sgarro,40000
10795,Supot,Naudin,84206
10801,Uinam,Zschoche,67302
10803,Katsuyuki,Velasco,54260
10808,Chenxi,Leijenhorst,40000
10811,Ashish,Fortenbacher,40000
10813,Shalesh,Shumilov,53246
10814,Nidapan,Dymetman,59378
10826,Arnd,Anandan,59506
10827,Willard,Danley,58322
10829,Alper,Narahara,40000
10830,Fen,Fiebach,47420
10831,Toong,Driscoll,82330
10833,Krisda,Gecseg,40000
10834,Huiqun,Rajcani,53869
10835,Tomoyuki,Kermarrec,40000
10836,Jianhua,Leivant,65502
10844,Dipayan,Koprowski,40000
10846,Tokuyasu,Serre,40000
10847,Theirry,Danley,40000
10848,Fen,Bratsberg,50475
10849,Makato,Mayerwieser,66065
10854,Jagoda,Nannarelli,40000
10858,Kenroku,Gonthier,47847
10867,Billur,Gyorkos,40000
10871,Aram,Gilg,40000
10872,Karoline,Speel,40000
10873,Sukumar,Wegerle,65835
10876,Vincent,Papastamatiou,61389
10878,Lakshmi,Deville,72102
10879,Muzhong,Chleq,65651
10882,Fun,Heuser,40000
10883,Shimshon,Champarnaud,40000
10885,Rayond,Cronau,78613
10887,Lunjin,DeMori,69570
10895,Vishwani,Petersohn,67103
10900,Ferdinand,Prenel,50054
10906,Munehiro,Carrere,66204
10909,Georgi,Atchley,80935
10912,Oscal,Fasbender,45665
10913,Narain,Thummel,62428
10918,Susumu,Reghbati,59521
10920,Ronghao,Narahara,40000
10921,Mara,Bahi,72601
10922,Kyoichi,Wossner,51997
10924,Hironoby,Atchley,84783
10926,Leni,Eppinger,43219
10927,Gal,Scallan,51819
10930,Arch,Minakawa,53785
10932,Avishai,Picci,40000
10936,Mountaz,Schicker,40000
10940,Aleksander,Fioravanti,74987
10942,Toshimitsu,Larfeldt,40000
10943,Berna,Skafidas,45890
10944,Remko,Zyda,42872
10947,Gor,Usery,43068
10948,Shigehito,Brodie,47252
10949,Shigeichiro,Wroclawski,58253
10956,Arno,Picel,40000
10965,Eckart,Braunschweig,61654
10969,Premal,Noriega,40000
10971,Isamu,Vadhan,52453
10974,Muneo,Papsdorf,56005
10985,Chiradeep,Furedi,40000
10986,Masako,Schiper,43900
10987,Flemming,Baezner,46108
10988,Chinya,Deyuan,54174
10989,Sumali,Candan,46406
10990,Shin,Foote,40000
10996,Matk,Rahimi,43564
11002,Bluma,Ulupinar,49909
11004,JoAnna,Decleir,40226
11009,Alper,Axelband,75111
11012,Taegyun,Speckmann,72092
11019,Leon,Huttel,69387
11021,Srinidhi,Henders,62670
11024,Manton,Collavizza,85419
11027,Remzi,Cappello,40000
11028,Miyeon,Krider,41111
11031,Ottavia,Walstra,71654
11032,Erez,Schaaf,40000
11037,Lansing,Maliniak,40000
11038,Jinya,Beidas,44993
11042,Gou,Breugel,40000
11048,Jaques,Demke,65697
11050,Elvis,Katiyar,52251
11051,Przemyslawa,Erol,40000
11056,Palash,Speel,79354
11060,Genevieve,Pokrovskii,57435
11061,Pintsang,Erni,81257
11064,Shawna,Vieri,48411
11066,Shaz,Langford,53496
11070,Adib,Raney,40000
11071,Kwan,Sigstam,40000
11075,Karsten,Belinskaya,76877
11077,Hideyuki,Merro,42983
11079,Piyush,Garigliano,46239
11081,Barry,Boyle,65686
11083,Shimshon,Ducloy,90972
11084,Greger,Senzako,52121
11085,Hailing,Thummel,66437
11087,Changho,Jayawardene,78081
11089,Conal,Henders,41004
11091,Souichi,Ramsay,76253
11092,Narain,Stamatiou,78588
11098,Arnd,Covnot,40000
11100,Berna,Cochrane,40000
11106,Aris,Iwayama,71446
11110,Valeska,Birjandi,43063
11111,Udi,Zastre,49777
11112,Boaz,Mukaidono,40000
11113,Shahab,Peng,66401
11114,Tse,Felcyn,42370
11119,Ramzi,Luga,40000
11121,Vugranam,Kakkad,40000
11130,Xinyu,Menhoudj,43172
11132,Kristin,Harnett,40000
11133,Nalini,Azulay,40000
11134,Sachar,Rajcani,58731
11137,Hugh,Luca,40000
11139,Bogdan,Homond,63596
11143,Yongdong,Rosen,63264
11144,Carrsten,Heinisuo,56144
11145,Jinxi,Baak,50480
11146,Ishfaq,Masand,96019
11147,Ayonca,Nitsch,40000
11148,Zhanqiu,Botman,56344
11156,Tomoyuki,Armand,42448
11158,Masaki,Hagimont,40000
11162,Kauko,Narlikar,69873
11168,Shmuel,Tetzlaff,72944
11170,Minghong,Cannard,44531
11174,Akhilish,Milicia,45806
11177,Chrisa,dAstous,40000
11180,Mitsuyuki,Bojadziev,40000
11181,Hausi,Cullers,40000
11185,Aloys,Baezner,40000
11186,Kshitij,Stasinski,40000
11189,Dante,Bodoff,71798
11192,Apostol,Bahr,40000
11195,Masanao,Lovengreen,52089
11197,Tadahiro,Fordan,88741
11201,Jouko,Masaki,49454
11203,Sakthirel,Yetto,68049
11204,Diederik,Covnot,40000
11206,Steen,Sury,68802
11207,Saeed,Gips,49728
11208,Saniya,Valtorta,83660
11211,Yurij,Rissland,72668
11213,Vugranam,Munoz,40000
11217,Kellie,Mawatari,40000
11218,Kirk,Hemaspaandra,40000
11221,Alselm,Hammerschmidt,47184
11229,Gretta,Ramamoorthy,48214
11232,Hidefumi,Crelier,43863
11233,Sanjit,Waschkowski,46070
11240,Kiam,Condotta,61739
11243,Udi,Desikan,47598
11249,Randi,Cyre,43324
11251,Bezalel,Chinal,69432
11253,Koldo,Pokrovskii,40000
11254,Danel,Rindone,50562
11258,Aris,Maccarone,40000
11266,Florina,Rohrbach,40000
11267,Shaunak,Zaumen,65990
11268,Aimee,Petersohn,40000
11274,Masanao,Nicolson,40000
11275,Hitomi,Eppinger,58382
11288,Domenico,Eastman,60782
11289,Chuanti,Cherinka,40000
11290,Visit,Dredge,65034
11291,Gino,Glowinski,54307
11292,Souichi,Sichman,40000
11294,Tru,Segond,43768
11295,Abdelkader,Lanzelotte,66622
11296,Hironobu,Kenevan,40000
11297,Geraldo,Levergood,40000
11300,Lillian,Fontet,44380
11301,Mingzeng,Oxenboll,40000
11302,Shem,Senzako,52934
11315,Neven,Meriste,84316
11317,Shigeaki,Hagimont,40000
11319,Pranas,Marrakchi,40000
11320,Atilio,McAlpine,45118
11322,Nathalie,Pocchiola,43021
11324,Kauko,Billingsley,54288
11325,Samphel,Rossi,62458
11326,Munenori,Plesums,40000
11338,Kwangsub,Hanratty,82210
11339,Flemming,Massonet,40000
11340,Aris,Bala,48813
11343,Susanne,Erez,43306
11347,Anneli,Jonsson,41524
11349,Yurii,Hammerschmidt,46356
11360,Fen,Schach,63466
11365,Toshimi,Shinomoto,56463
11372,Susanta,Vilarrasa,52023
11373,Yongmao,Keohane,45912
11376,Valery,Suomi,46964
11380,Kenroku,Pelc,53345
11385,Shiv,Ullian,40000
11386,Alselm,Assaf,47726
11387,Jordanka,Kalloufi,41824
11393,Junsik,Junot,40000
11396,Anneke,Servieres,48918
11398,Oscar,Peir,44625
11401,Huan,Merey,52021
11404,Bedrich,Borovoy,42907
11406,Eberhardt,Gini,71834
11410,Gro,Vendrig,45665
11414,Eishiro,Pearson,76725
11415,Sanjiv,Anido,40000
11417,Anneli,Cyne,74114
11418,Satosi,Cooley,40000
11420,Tsutomu,Lalonde,40000
11421,Josyula,Msuda,52416
11423,Guangming,Kopetz,43947
11425,Renee,Crelier,40000
11428,Remco,Reinhart,40000
11431,Youngkon,Picht,44804
11441,Marlo,Aingworth,67352
11446,Naftali,Narahara,40000
11449,Kotesh,Asser,61434
11451,Eben,Rajaraman,61848
11452,Shigehito,Luby,52083
11459,Duke,Suomi,40000
11460,Mana,Maraist,45712
11461,Kish,Cronau,49398
11468,Navin,Maksimenko,85983
11469,Guttorm,Giaccio,44625
11474,Gennady,Akazan,59016
11476,Manton,Yoshizawa,56449
11477,Fox,Narahari,40000
11479,Shridhar,Pleszkun,78157
11501,Karsten,Ranum,48608
11503,Nathan,Picht,56928
11506,Rance,Picel,89747
11509,Aleksander,Feldhoffer,40000
11513,Otmar,Mahnke,82525
11515,Ulf,Basawa,70182
11518,Jinxi,Oxman,40000
11519,Halsur,Chinen,61444
11521,Eldridge,Eastman,67809
11523,Yuguang,Pezzoli,64203
11524,Xiadong,Standera,41081
11526,Tonny,Impagliazzo,67591
11527,Alagu,Boyle,60212
11528,Zito,Dolinsky,44026
11531,Radhika,Motley,53370
11533,Vitaly,Lorch,40000
11537,DAIDA,Pehl,96023
11540,Chanjung,Portugali,70043
11554,Subhash,Taubenfeld,46065
11555,Kotesh,Perfilyeva,40000
11562,Rimli,Alencar,82255
11567,Teiji,Mitzlaff,86261
11568,Martins,Fujisaki,54673
11573,Pranas,Hutton,46194
11575,Godehard,Plotkin,50896
11577,Mayumi,Deyuan,40000
11578,Edwin,Rosti,40000
11581,Patricio,Rosenbaum,46950
11587,Shem,Zambonelli,40000
11588,Kaijung,Panangaden,40000
11589,Gina,Plessier,58444
11595,Takanari,Kamber,68224
11596,Yannik,Gunderson,54076
11597,Yongdong,Talmon,43205
11602,Somnath,Malabarba,58575
11603,Herb,Swen,69180
11606,Perry,Pepe,40000
11607,Tomokazu,Foong,49584
11615,Shem,Isaak,46591
11616,Zhilian,Brendel,41900
11624,Adil,Gammage,42001
11628,Fan,Malinowski,43966
11636,Fumitaka,Shiratori,47900
11640,Valeri,Coorg,52520
11641,Chikako,Rothenberg,53327
11644,Sanjit,Zaiane,80722
11646,Lobel,Rubsam,55411
11647,Magy,Nitsche,40000
11649,Shen,Bernardinello,40000
11660,Gill,Stenning,65758
11664,Oksana,Brizzi,70380
11667,Kristian,Marchegay,79814
11673,Henk,Felder,40000
11676,Valeri,Ferriere,43310
11681,Fumitake,Benzmuller,40000
11684,Oksana,Gide,68753
11686,Nadjib,Srimani,40000
11690,Domenick,Raczkowsky,44420
11693,Hideo,Coorg,70403
11696,Dante,Rothe,51633
11705,Arve,Hofmeyr,79701
11708,Chenye,Angot,68112
11713,Danel,Heusch,53387
11732,Sanjoy,Ranft,40000
11733,Leszek,Sudbeck,46092
11735,Amalendu,Picci,40000
11736,Shugo,Uchoa,44127
11737,Martina,Garnier,48832
11738,Tadahiro,Lichtman,58432
11746,Koichi,Marrakchi,55951
11747,Aksel,Kossowski,90239
11748,Lihong,Massonet,54491
11751,Jiafu,Emiris,40000
11755,Zhenbing,Karner,56874
11756,Abdelwaheb,Vakili,59493
11763,Yuriy,Liesche,40000
11764,Sanjay,Anick,64875
11765,Zorica,Junet,40000
11769,Chandrasekaran,Lampe,40000
11770,Arumugam,Jakobus,40000
11772,Gaurav,Penz,61295
11774,Aron,Wroclawski,40000
11778,Dhritiman,Fontan,40000
11779,Shunichi,Thombley,40000
11791,Gal,Mamelak,40000
11797,Chenxi,Thambidurai,88050
11801,Tommaso,Dayang,67265
11805,Rosine,Grandbois,40000
11807,Chriss,Binding,40000
11810,Amabile,Bhattacharjee,41256
11811,Herb,Boissier,52695
11813,Gita,Muhlberg,94687
11814,Manohar,Shinomoto,40000
11817,Niranjan,Markovitch,50638
11821,Mary,Piazza,50404
11822,Sastry,Madeira,67396
11823,Weiyi,Iacovou,72637
11829,Chaosheng,Pettis,40000
11832,Arto,Zlotek,40000
11836,Ortrud,Bakhtari,40000
11838,Taiji,Nitta,68674
11841,Elvia,Bugrara,90296
11842,Moto,Piazza,40000
11844,Shawna,Demeyer,78049
11846,Fai,Perly,53448
11847,Tzvetan,Brandsma,64449
11853,Zeljko,Kusakabe,61941
11857,Divier,Farrag,94805
11862,Alejandra,Deville,46011
11864,Pradeep,Kriebel,52517
11868,Kwee,Demke,48349
11869,Fumino,Luca,62968
11871,Nalini,Sommen,67424
11872,Cheong,Riexinger,43159
11876,Leszek,Kobuchi,45372
11877,Heng,Sudkamp,50777
11881,Arra,Staelin,76541
11883,Nectarios,Bhattacharjee,58135
11888,Badri,Azulay,53720
11894,Mitchel,Validov,56198
11896,Shaunak,Benzmuller,40000
11897,Cordelia,Setlzner,80049
11906,Hideo,Boguraev,81324
11911,Ashish,Mondadori,40000
11915,Miomir,Mawatari,58042
11917,Jiakeng,VanScheik,40000
11926,Leni,Felcyn,41612
11931,Gunilla,Chiodo,73369
11933,Basil,Erman,56130
11938,Aruna,Verspoor,40000
11939,Chinhyun,Basart,64815
11940,Ult,Anido,60193
11944,Along,Aumann,52061
11945,Limsoon,Marakhovsky,53056
11948,Yahiko,Nergos,49929
11949,Martijn,Harbusch,40000
11951,Bernt,Haumacher,40000
11965,Arup,Morrey,57709
11972,Sibyl,Beausoleil,52908
11980,Yechezkel,Pews,58241
11983,Jaana,Hedayat,40000
11987,Vidya,Schaar,40000
11988,Chinya,Chinin,57652
11989,Erzsebet,Peltason,40000
11993,Marit,Dalphin,56505
11994,Sigeru,Fiebach,49761
11997,Heon,Mawatari,40000
12007,Marko,Dehkordi,40000
12008,Frederique,Zykh,68535
12011,Zhilian,Coorg,85833
12015,Kensei,Guenter,42853
12021,Chikara,Rahimi,40000
12023,Chuanyi,Eppinger,40000
12024,Mayumi,Lanzelotte,65580
12025,Jaewoo,Heiserman,62126
12028,Ingemar,Walstra,51314
12030,Shuky,Cromarty,40000
12033,Visit,Serot,49992
12034,Aemilian,Piazza,40148
12036,Mads,Ratzlaff,67143
12037,Arunas,Katzenelson,47805
12040,Bluma,Kermarrec,64813
12043,Masaki,Lubachevsky,49009
12044,Rance,Hemaspaandra,40000
12047,Jordanka,Ligten,52051
12050,Yuchang,Tchuente,46704
12052,Masako,Khasidashvili,40000
12053,Yechezkel,Pelc,48319
12054,Odysseas,Braccini,67400
12055,Rutger,Kilgore,60201
12060,Toshimi,Antonakopoulos,40000
12062,Margareta,Worfolk,44199
12063,Lein,Bale,56022
12069,Ayonca,Burnard,51928
12070,Ger,Shokrollahi,50233
12076,Karlis,Siprelle,75381
12077,Steve,Hutton,50388
12080,Panayotis,Feinberg,47946
12082,Xinan,Yamaashi,72118
12087,Weijing,Jumpertz,45432
12089,Bilhanan,Socorro,46288
12090,Shigenori,Angelopoulos,46269
12091,Lansing,Cunliffe,40000
12092,Kauko,Unno,40000
12093,Evgueni,Oxenboll,40000
12094,Weiru,Pearson,44788
12095,Fai,Smeets,57978
12099,Nobuyoshi,Kuzuoka,104610
12102,Aron,Erde,90853
12103,Becky,Erie,56188
12104,Dulce,Kohling,43465
12112,Satyanarayana,Avouris,76538
12114,Shiv,Rubsam,40000
12122,Satoru,Krone,46398
12123,Xiahua,Syrzycki,64879
12125,Shounak,Erman,41215
12128,Yannik,Barreiro,81527
12138,Takahito,Brender,40000
12140,Xudong,Paciorek,40000
12148,Hidde,Garigliano,42040
12149,Suebskul,Grandbois,109934
12159,Shem,Perly,61210
12160,Aamer,Garrabrants,60391
12164,Muneo,Chachaty,43366
12165,Xiaobin,Maquelin,41951
12168,Arnd,Salverda,40000
12172,Jianhua,Llado,40000
12173,Adel,Nanard,58321
12174,Slavian,Plavsic,40000
12183,Harngdar,Iisaku,40000
12186,Guther,Nooteboom,70221
12190,Abdulah,Engberts,40000
12191,Rosella,Bazzichi,45307
12192,Feiyu,Klyachko,41625
12205,Sushant,Rossi,40000
12206,Barton,Janetzko,40000
12210,Vugranam,Ashish,40000
12213,Kwangho,Brizzi,79834
12216,Aloke,Mansanne,40000
12218,Yaghout,Strooper,40000
12219,Junsik,Gadepally,57507
12221,Vincent,Melter,56736
12222,Abdelwaheb,Holburn,55840
12223,Niteen,Koyama,54459
12230,Yuriy,Bellone,53692
12231,Nishit,Bharadwaj,40000
12235,Honesty,Haumacher,100755
12242,Satoru,Wolniewicz,46911
12247,Subbu,Penttonen,59183
12249,Eldridge,Sadowski,70099
12250,Kerhong,Aloia,61573
12254,Chaitali,Stafford,44848
12256,Guadalupe,Reghbati,40000
12258,Kankanahalli,Eiter,40748
12264,Mart,Pagter,51816
12269,Mohammed,Whitcomb,40000
12270,Shakhar,Kornyak,52840
12272,Behnaam,Grandbois,43811
12273,Jaideep,Uehara,90736
12274,Garnik,Papadias,40000
12276,Yongmin,Lenart,59844
12281,Hisao,Langford,45417
12282,Tadahiro,Delgrange,40000
12291,Masamitsu,Koyama,67506
12298,Tetsurou,Rodham,62015
12303,Godehard,Braccini,40000
12308,Mototsugu,Cronau,58741
12311,Susanne,Lubachevsky,40000
12312,Chenye,Velasco,52344
12316,Hyuncheol,Duclos,46261
12317,Weiyi,Crabtree,40000
12327,DAIDA,Bruckman,67449
12328,Atilio,Prampolini,51299
12335,Arnould,Genin,40000
12338,Kagan,Besselaar,46270
12339,Pranay,Czaja,40000
12341,Rasiah,Luga,40000
12343,Sorina,Slaats,52134
12345,Xuedong,Mellouli,42222
12351,Gennady,Zizka,67969
12355,Vidar,Hutton,70724
12364,Neelam,Cummings,42337
12365,Kamakshi,Bisiani,40000
12366,Patricio,Setlzner,40000
12368,Gor,Dechter,45415
12373,Mooi,Driscoll,75986
12379,Kazuhisa,Serna,43508
12380,Menkae,Farrow,40000
12381,Amalendu,Klerer,42211
12388,Arumugam,Hebert,40000
12394,Stevo,Reeken,40000
12395,Sanjit,Felder,66909
12399,Mihalis,Luga,85582
12407,Jianwen,Brodie,40000
12411,Shao,Ibel,97610
12413,Hugh,Gadepally,53179
12415,Uri,Sluis,53615
12417,Dannz,Spelt,67342
12421,Toshimi,Gulik,52691
12422,Berhard,Demos,71376
12426,Shahaf,Valtorta,40000
12427,Zissis,Daescu,40000
12434,Xumin,Bernardinello,40000
12438,Yongmao,Mondadori,109440
12450,Sanjeeva,Perng,40000
12451,Pramod,Marzano,40000
12452,Hiroyasu,Francisci,40000
12454,Kerryn,Farris,41347
12464,Shai,Milicic,50448
12466,Cullen,Nations,65175
12468,Ioana,Baezner,41627
12470,Khue,Hinsberger,42070
12475,Filipe,Roison,40000
12478,Yahiko,Hopewell,50404
12480,Tetsushi,Schade,62415
12482,Chandrasekaran,Rijckaert,45647
12487,Mona,Reghbati,40000
12488,Etsuo,Gerteisen,40000
12489,Arnould,Munck,63306
12490,Jackson,Muchinsky,40000
12492,Kristinn,Hammerschmidt,59589
12493,Filipp,Menhardt,40000
12497,Stein,Penz,81191
12499,Izaskun,Lamba,69706
12501,Morrie,Matheson,76082
12502,Danil,VanScheik,40000
12504,Adly,Rosaz,40000
12505,Barton,Goldhammer,40423
12506,Gay,Rodite,50229
12509,Rutger,Krzyzanowski,40000
12514,Tomofumi,Melter,54241
12515,Pranav,Wilharm,50655
12520,Goetz,Basart,40000
12522,Trygve,Zhang,47733
12523,Tonia,Casley,94760
12524,Tetsushi,Demeyer,42824
12528,Conor,Cincotta,40000
12534,Yongmao,Gerlach,66715
12537,Avishai,Gonthier,85107
12540,Poornachandra,Bresenham,40000
12541,Shih,Nanard,93105
12542,Kazuhide,Bouloucos,44176
12551,Jeane,Tzvieli,40000
12552,Mechthild,Zongker,91393
12553,Aral,Vesna,40000
12555,Spyrose,DuCasse,68051
12557,Stafford,Kopetz,41840
12558,Danco,Niizuma,40000
12563,Honesty,Ducloy,40000
12564,Remco,Nitsche,76772
12568,Marlo,Boyle,40000
12571,Abdelaziz,Candan,53163
12574,Mong,Gelosh,66284
12586,Oguz,Tasistro,50972
12588,Yagil,Kenevan,49125
12589,Anoosh,Chleq,59441
12590,Gita,Rosenbaum,72208
12596,Breannda,Roisin,40000
12597,Kazuhito,Petereit,63589
12601,Ghassan,Simkin,41714
12603,Utpal,Roison,43168
12608,Nectarios,Mondadori,40000
12612,Chandrasekaran,Thimonier,92187
12617,Shawna,Rusterholz,55663
12623,Raimond,Scharstein,79700
12626,Gill,Comyn,61375
12630,Sreekrishna,Falco,41052
12635,Xinyu,Restivo,40000
12636,Yuuichi,Debuse,40000
12637,Poorav,Karner,44370
12638,Yuqun,Seiwald,56677
12639,Zeljko,Schapire,40000
12642,Suebskul,Gips,68271
12644,Bernt,Jayawardene,40000
12645,Kyoichi,Decaestecker,63135
12651,Pragnesh,Bael,75150
12656,Seshu,Morton,70030
12662,Leucio,Alvarado,69016
12663,Nobuyoshi,Stellhorn,49966
12664,Zhonghua,Parveen,40000
12665,Amalendu,Lanphier,68848
12666,Stamatina,Prenel,40000
12670,Seongbae,Alameldin,45281
12672,Mayumi,Varman,54041
12678,Carrsten,Borovoy,44529
12680,Bader,Staudhammer,46321
12687,Weicheng,Badache,78376
12689,Luerbio,Boudaillier,59689
12691,Oddvar,Gils,48493
12694,Kazuhira,Luders,53019
12697,Uri,Brizzi,40000
12707,Gregory,Zastre,53664
12709,Ronghao,Botman,45510
12715,Honglan,Showalter,40000
12717,Tzu,Jiafu,53194
12721,Sajjan,Szilard,70155
12722,Elliott,Cheshire,62325
12725,Inderjeet,Flexer,40000
12726,Fumitake,Panwar,61177
12729,Nahla,Rahier,51796
12730,Barry,Perl,40000
